playerID,tmID,points,fgAttempted,ftAttempted,fg_percentage,ft_percentage,three_percentage,true_shooting_percentage,rebounds_per_minute,steals_per_minute,blocks_per_minute,assists_per_minute,assist_turnover_ratio,effective_fg_percentage
holtam01w,CON,222.0,199.0,45.0,0.40703517587939697,0.7777777777777778,0.32894736842105265,0.5073126142595977,0.14705882352941177,0.02100840336134454,0.0070028011204481795,0.09103641456582633,2.096774193548387,0.46984924623115576
hornbal01w,DET,184.0,178.0,66.0,0.3539325842696629,0.6363636363636364,0.35555555555555557,0.44435857805255025,0.18473895582329317,0.10575635876840696,0.013386880856760375,0.09504685408299866,1.4489795918367347,0.398876404494382
houstch01w,MIN,292.0,236.0,81.0,0.4915254237288136,0.7407407407407407,0.0,0.5374760712707997,0.2099827882960413,0.05163511187607573,0.022375215146299483,0.04819277108433735,0.509090909090909,0.4915254237288136
humphta01w,MIN,124.5,103.0,19.5,0.45731707317073167,0.7713903743315509,0.38196286472148544,0.5478809409348835,0.22162664379645514,0.03131948414967283,0.014817991233085574,0.05826345213137665,0.6726190476190476,0.5210955940204562
humphta01w,WAS,124.5,103.0,19.5,0.45731707317073167,0.7713903743315509,0.38196286472148544,0.5478809409348835,0.22162664379645514,0.03131948414967283,0.014817991233085574,0.05826345213137665,0.6726190476190476,0.5210955940204562
jacksla01w,SEA,575.25,436.5,158.0,0.4617220920121769,0.8337911880639288,0.34880746992078804,0.5671096373777438,0.24022833673822674,0.035646450268936036,0.06223197611300442,0.04697048781376392,0.8615826585583242,0.5064687934510378
jacksti02w,NYL,190.5,155.5,76.0,0.46575399123169825,0.5998786197329634,0.0,0.5040846324879551,0.2538578671566626,0.0484551517626242,0.02072274397713352,0.046251871512181846,0.46471088435374147,0.46575399123169825
januabr01w,IND,126.0,110.0,37.0,0.33404032866457284,0.6337338069173575,0.19823669907109118,0.4373001540916433,0.15450980647664894,0.034594887586151264,0.017875160530466925,0.06521929942426108,0.8649032724709308,0.3661634845572791
jekaban01w,CON,126.0,110.0,37.0,0.33404032866457284,0.6337338069173575,0.19823669907109118,0.4373001540916433,0.15450980647664894,0.034594887586151264,0.017875160530466925,0.06521929942426108,0.8649032724709308,0.3661634845572791
johnssh01w,SEA,330.0,263.3333333333333,124.88888888888889,0.3858474799792157,0.7739092102187867,0.33151279531709493,0.5173072482224135,0.10719242963400237,0.04757845837136962,0.005530286708668943,0.13844613329526745,1.588552958610381,0.4438430654391208
